year,yrMonth,serMonth,discharge
1980,8,776,52.51
1980,9,777,31.75
1980,10,778,42.59
1980,11,779,68.57
1980,12,780,66.76
1981,1,781,62.74
1981,2,782,66.86
1981,3,783,55.53
1981,4,784,105.79
1981,5,785,242.91
1981,6,786,336.08
1981,7,787,54.66
1981,8,788,30.82
1981,9,789,20.79
1981,10,790,36.8
1981,11,791,53.93
1981,12,792,58.91
1982,1,793,51.36
1982,2,794,69.37
1982,3,795,221.31
1982,4,796,354.61
1982,5,797,518.66
1982,6,798,295.3
1982,7,799,325.22
1982,8,800,91.95
1982,9,801,107.08
1982,10,802,167.6
1982,11,803,170.63
1982,12,804,168.29
1983,1,805,189.72
1983,2,806,149.29
1983,3,807,168.09
1983,4,808,256.5
1983,5,809,522.22
1983,6,810,542.27
1983,7,811,363.37
1983,8,812,131.43
1983,9,813,77.25
1983,10,814,177.64
1983,11,815,222.34
1983,12,816,232.98
1984,1,817,227.27
1984,2,818,148.95
1984,3,819,163.64
1984,4,820,392.93
1984,5,821,580.13
1984,6,822,635.43
1984,7,823,363.38
1984,8,824,198.79
1984,9,825,170.82
1984,10,826,153.98
1984,11,827,173.53
1984,12,828,201.85
1985,1,829,212.92
1985,2,830,173.15
1985,3,831,161.72
1985,4,832,307.49
1985,5,833,413.97
1985,6,834,182.81
1985,7,835,52.59
1985,8,836,45.06
1985,9,837,71.73
1985,10,838,78.5
1985,11,839,98.21
1985,12,840,98.28
1986,1,841,128.67
1986,2,842,138.16
1986,3,843,366.05
1986,4,844,521.98
1986,5,845,584.43
1986,6,846,536.04
1986,7,847,211.95
1986,8,848,70.29
1986,9,849,136.86
1986,10,850,145.38
1986,11,851,158.58
1986,12,852,181.67
1987,1,853,159.83
1987,2,854,111.22
1987,3,855,91.95
1987,4,856,99.51
1987,5,857,112.06
1987,6,858,94.25
1987,7,859,71.66
1987,8,860,47.38
1987,9,861,37.49
1987,10,862,46.84
1987,11,863,64.61
1987,12,864,55.02
1988,1,865,56.15
1988,2,866,51.43
1988,3,867,50.3
1988,4,868,65.55
1988,5,869,41.7
1988,6,870,57.79
1988,7,871,79.5
1988,8,872,82.75
1988,9,873,57.26
1988,10,874,36
1988,11,875,63.25
1988,12,876,47.78
